Year	Month	Dengue	RainFall	RainDays	Tem	RelHumid	PrIndex	CnIndex
2017	5	775	343.399997539818	19	29.15	80.4	6.26068796163771	6.43963772296406
2017	6	1077	141.4999987185	22	28.55	83.05	9.97529250695312	9.25726164125812
2017	7	2598	47.2000008225441	9	28.95	79.55	5.34057413711553	8.54209606935102
2017	8	1022	70.3000001236796	14	28.6	80.2	5.8078736188469	6.02233125404505
2017	9	284	355.199996754527	20	28.1	83.1	6.14486477785244	5.42441738795082
2017	10	374	467.099999845028	25	27.8	85.65	9.48541596751966	4.48572926555541
2017	11	660	294.200000323355	15	27.3	83.9	8.67237727674267	5.91828655779757
2017	12	821	172.299999177456	9	27.45	78.2	6.37356919661296	4.49544167825456
2018	1	675	45.7000001966953	6	27	72.1	4.5071045560322	4.28900538396815
2018	2	225	108.800001993775	8	27.8	75.2	7.20495582985877	7.48813240299295
2018	3	133	68.8000009357929	10	28.45	78.9	5.7504425177181	8.45527589327796
2018	4	131	264.999998129904	17	28.55	81.5	8.83588942669585	9.86855089540324
2018	5	451	421.699997879565	26	28.25	84.7	9.49726551487183	4.9575215279405
2018	6	743	155.800000816584	25	28.35	82.3	9.97449303431692	8.61993194404915
2018	7	896	68.8999994769692	6	28.3	80.95	4.89676808191308	4.97772217116791
2018	8	437	63.8999995291233	9	27.8	82.05	5.50227067931018	8.52604834384185
2018	9	199	263.700000435114	12	28.25	79.25	8.71943957786476	7.62216016836257
2018	10	261	539.699998803437	22	27.45	85.45	9.33626012102113	4.50691956986562
2018	11	524	420.699997343123	17	27.35	83.8	6.95110060520987	4.44586211340162
2018	12	812	139.49999962002	6	27.5	78.35	6.88713454893152	5.93360416065573
2019	1	568	15.4000002145767	3	27.65	72.7	5.59741262081694	4.49314027942661
2019	2	279	156.999999143183	6	28.35	78.1	6.45008390528385	4.8785152737987
2019	3	394	41.4000010788441	4	28.8	76.4	4.99781532107339	4.36212057996454
2019	4	288	193.800001814961	13	29.3	78.3	9.21145651654588	8.58139108364444
2019	5	340	126.900000095367	16	29.35	79.5	8.10338325897087	8.28242198228198
2019	6	593	257.200001753867	20	28.8	82.1	7.5823632851982	8.56305979063715
2019	7	875	136.099999964237	16	28.65	79.35	8.10338325897087	8.28242198228198
2019	8	577	288.400000929832	22	27.85	83.3	10.0351828447444	8.1097132815059
2019	9	670	609.800007611513	25	27.4	84.95	8.90208119745702	4.21450509887693
2019	10	1600	354.900003120303	25	26.95	85.95	9.48448073856112	6.50707141341676
2019	11	2051	433.599999278784	24	27.6	84.3	9.30164741989172	5.39192345765084
2019	12	1859	250.300001084805	12	27.65	80.85	8.7081780469765	7.55325762505542
